KEY,FREQ,REF_AREA,BANK_SELECTION,BLS_ITEM,BLS_COUNT,BLS_COUNT_DETAIL,TIME_HORIZON,EFFECT_DOMAIN,MARKET_ROLE,BLS_AGG_METHOD,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,COLLECTION,COMPILING_ORG,DISS_ORG,DECIMALS,SOURCE_AGENCY,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2003-Q1,0,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2003-Q2,0,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2003-Q3,-20,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2003-Q4,20,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2004-Q1,0,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2004-Q2,20,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2004-Q3,60,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2004-Q4,40,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2005-Q1,40,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2005-Q2,20,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2005-Q3,60,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2005-Q4,60,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2006-Q1,40,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2006-Q2,20,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2006-Q3,0,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2006-Q4,0,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2007-Q1,-20,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2007-Q2,20,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2007-Q3,60,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2007-Q4,40,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2008-Q1,-20,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2008-Q2,-40,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2008-Q3,-80,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2008-Q4,-100,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2009-Q1,-100,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2009-Q2,-100,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2009-Q3,-60,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2009-Q4,0,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2010-Q1,0,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2010-Q2,-40,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2010-Q3,-20,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2010-Q4,-60,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2011-Q1,-80,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2011-Q2,-100,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2011-Q3,-100,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2011-Q4,-100,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2012-Q1,-100,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2012-Q2,-100,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2012-Q3,-60,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2012-Q4,-100,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2013-Q1,-80,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2013-Q2,-80,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2013-Q3,-60,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2013-Q4,0,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2014-Q1,0,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2014-Q2,20,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2014-Q3,20,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2014-Q4,0,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2015-Q1,0,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2015-Q2,60,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2015-Q3,80,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2015-Q4,100,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2016-Q1,100,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2016-Q2,0,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2016-Q3,60,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2016-Q4,60,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2017-Q1,60,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2017-Q2,80,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2017-Q3,60,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2017-Q4,40,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2018-Q1,80,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2018-Q2,40,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2018-Q3,40,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2018-Q4,60,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2019-Q1,20,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2019-Q2,-20,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2019-Q3,40,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2019-Q4,40,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2020-Q1,20,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2020-Q2,0,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2020-Q3,-80,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2020-Q4,20,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2021-Q1,20,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2021-Q2,40,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2021-Q3,40,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2021-Q4,60,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2022-Q1,60,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2022-Q2,20,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
BLS.Q.PT.ALL.Z.H.H.B3.ZZ.D.FNET,Q,PT,ALL,Z,H,H,B3,ZZ,D,FNET,2022-Q3,20,A,F,,,P3M,B,,,2,,-Household,"Portugal - All banks - contract counterpart Household, motivation Loans for house purchase - Backward looking three months - Loan demand - Net percentage (frequency of tightened minus that of eased or reverse)",UNITS,0
